t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_omega
18.9,-0.0989883365955512,156.10893259512,15.0416666666667,1.5707963267949,154.604797617935,0.667896679268917,Inf,15.0416666666667,0
19,-0.0989883365955524,157.605599261786,14.9666666666667,1.5707963267949,156.108963979262,0.660181627943118,Inf,14.9666666666667,0
19.1,-0.0989883365955537,159.105599261786,15,1.5707963267949,157.605630347896,0.652665670920967,Inf,15,0
19.2,-0.0989883365955549,160.60893259512,15.0333333333333,1.5707963267949,159.105630054825,0.645288888481481,Inf,15.0333333333333,0
19.3,-0.0989883365955562,162.104765928453,14.9583333333333,1.5707963267949,160.608963099929,0.638047645182165,Inf,14.9583333333333,0
19.4,-0.0989883365955574,163.60393259512,14.9916666666667,1.5707963267949,162.104796151777,0.630989026965324,Inf,14.9916666666667,0
19.5,-0.0989883365955586,165.10643259512,15.025,1.5707963267949,163.603962541496,0.62405700466635,Inf,15.025,0
19.6,-0.0989883365955599,166.612265928453,15.0583333333333,1.5707963267949,165.106462268978,0.617248378674769,Inf,15.0583333333333,0
19.7,-0.0989883365955611,168.110599261786,14.9833333333333,1.5707963267949,166.612295334121,0.610560054043187,Inf,14.9833333333333,0
19.8,-0.0989883365955624,169.612265928453,15.0166666666667,1.5707963267949,168.110628405368,0.604035743073278,Inf,15.0166666666667,0
19.9,-0.0989883365955636,171.117265928453,15.05,1.5707963267949,169.612294814011,0.597624024763235,Inf,15.05,0
20,-0.0989883365955648,172.614765928453,14.975,1.5707963267949,171.117294559959,0.591322164350031,Inf,14.975,0
20.1,-0.0989883365955661,174.115599261786,15.0083333333333,1.5707963267949,172.614794311569,0.585171580531686,Inf,15.0083333333333,0
20.2,-0.0989883365955673,175.619765928453,15.0416666666667,1.5707963267949,174.115627400247,0.579123971054505,Inf,15.0416666666667,0
20.3,-0.0989883365955686,177.11643259512,14.9666666666667,1.5707963267949,175.619793825911,0.573176912243282,Inf,14.9666666666667,0
20.4,-0.0989883365955698,178.61643259512,15,1.5707963267949,177.116460256839,0.567369695230936,Inf,15,0
20.5,-0.098988336595571,180.119765928453,15.0333333333333,1.5707963267949,178.616460024539,0.561656863844936,Inf,15.0333333333333,0
20.6,-0.0989883365955723,181.615599261786,14.9583333333333,1.5707963267949,180.119793128938,0.556036264073928,Inf,14.9583333333333,0
20.7,-0.0989883365955735,183.114765928453,14.9916666666667,1.5707963267949,181.615626238241,0.550545210773709,Inf,14.9916666666667,0
20.8,-0.0989883365955748,184.617265928453,15.025,1.5707963267949,183.114792684051,0.545140851965418,Inf,15.025,0
20.9,-0.098988336595576,186.123099261786,15.0583333333333,1.5707963267949,184.617292466302,0.539821268201956,Inf,15.0583333333333,0
21,-0.0989883365955773,187.62143259512,14.9833333333333,1.5707963267949,186.12312558493,0.534584594977604,Inf,14.9833333333333,0
21.1,-0.0989883365955785,189.123099261786,15.0166666666667,1.5707963267949,187.621458708048,0.529465704322325,Inf,15.0166666666667,0
21.2,-0.0989883365955797,190.628099261786,15.05,1.5707963267949,189.123125167374,0.524424872381891,Inf,15.05,0
